TICK:60 | ORBIT:1 | TEMP:33 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:61 | ORBIT:1 | TEMP:33 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:62 | ORBIT:1 | TEMP:33 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:63 | ORBIT:1 | TEMP:33 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:64 | ORBIT:1 | TEMP:33 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:65 | ORBIT:1 | TEMP:33 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:66 | ORBIT:1 | TEMP:33 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:67 | ORBIT:1 | TEMP:33 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:68 | ORBIT:1 | TEMP:33 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:69 | ORBIT:1 | TEMP:33 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:70 | ORBIT:1 | TEMP:33 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:71 | ORBIT:1 | TEMP:32 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:72 | ORBIT:1 | TEMP:32 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:73 | ORBIT:1 | TEMP:32 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:74 | ORBIT:1 | TEMP:31 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:75 | ORBIT:1 | TEMP:31 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:76 | ORBIT:1 | TEMP:30 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:77 | ORBIT:1 | TEMP:30 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:78 | ORBIT:1 | TEMP:29 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:79 | ORBIT:1 | TEMP:28 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:80 | ORBIT:1 | TEMP:28 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:81 | ORBIT:1 | TEMP:27 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:82 | ORBIT:1 | TEMP:26 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:83 | ORBIT:1 | TEMP:26 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:84 | ORBIT:1 | TEMP:25 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:85 | ORBIT:1 | TEMP:24 | VBAT:6.375 | SAFE:0 | THERM_STALE: 0
TICK:86 | ORBIT:1 | TEMP:23 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:87 | ORBIT:1 | TEMP:22 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:88 | ORBIT:1 | TEMP:21 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:89 | ORBIT:1 | TEMP:20 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:90 | ORBIT:1 | TEMP:19 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:91 | ORBIT:1 | TEMP:18 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:92 | ORBIT:1 | TEMP:17 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:93 | ORBIT:1 | TEMP:16 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:94 | ORBIT:1 | TEMP:15 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:95 | ORBIT:1 | TEMP:14 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:96 | ORBIT:1 | TEMP:13 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:97 | ORBIT:1 | TEMP:12 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:98 | ORBIT:1 | TEMP:11 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:99 | ORBIT:1 | TEMP:10 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:100 | ORBIT:1 | TEMP:9 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:101 | ORBIT:1 | TEMP:8 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:102 | ORBIT:1 | TEMP:7 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:103 | ORBIT:1 | TEMP:6 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:104 | ORBIT:1 | TEMP:5 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:105 | ORBIT:1 | TEMP:3 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:106 | ORBIT:1 | TEMP:2 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:107 | ORBIT:1 | TEMP:1 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:108 | ORBIT:1 | TEMP:0 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:109 | ORBIT:1 | TEMP:0 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:110 | ORBIT:1 | TEMP:-1 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:111 | ORBIT:1 | TEMP:-2 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:112 | ORBIT:1 | TEMP:-3 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:113 | ORBIT:1 | TEMP:-4 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:114 | ORBIT:1 | TEMP:-5 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:115 | ORBIT:1 | TEMP:-6 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:116 | ORBIT:1 | TEMP:-7 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:117 | ORBIT:1 | TEMP:-7 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:118 | ORBIT:1 | TEMP:-8 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:119 | ORBIT:1 | TEMP:-9 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:120 | ORBIT:1 | TEMP:-10 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:121 | ORBIT:1 | TEMP:-11 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
